singular_value_index,mean_c_ideal_noise_0,std_c_ideal_noise_0,mean_c_noisy_noise_25,std_c_noisy_noise_25,mean_c_ctc_noise_25,std_c_ctc_noise_25,mean_c_noisy_noise_50,std_c_noisy_noise_50,mean_c_ctc_noise_50,std_c_ctc_noise_50
77,0.01801870829036767,0.0,0.6406612296330892,0.0,0.14491114632546043,0.0,0.8566749503919779,0.0,0.3089318998439784,0.0
78,0.017092848431242685,0.0,0.6384145539481779,0.0,0.14015092541221785,0.0,0.8561206135003168,0.0,0.29774594390407827,0.0
79,0.016464020662315566,0.0,0.6364763856177538,0.0,0.12946005301575303,0.0,0.8556831263449346,0.0,0.29048487046394045,0.0
80,0.015230419613935562,0.0,0.635165545626258,0.0,0.12734103041277234,0.0,0.8547230203810097,0.0,0.27849832825032167,0.0
81,0.015075781675327303,0.0,0.6345700527923561,0.0,0.12545250994177332,0.0,0.8523610756356254,0.0,0.2739123287024649,0.0
82,0.014137709619368668,0.0,0.6318772670873344,0.0,0.11982667762560902,0.0,0.8513665892404613,0.0,0.2669619685567171,0.0
83,0.012090722220623724,0.0,0.6262685045959262,0.0,0.1186312311359007,0.0,0.8501962666600711,0.0,0.2609553143954628,0.0
84,0.011843575195976756,0.0,0.6236581797310122,0.0,0.11560028288481503,0.0,0.848870024414442,0.0,0.2517358382018884,0.0
85,0.011397533960995423,0.0,0.6216057997374278,0.0,0.11160465351266291,0.0,0.8476728844372261,0.0,0.24622178608419606,0.0
86,0.010342362492230908,0.0,0.6193933874494315,0.0,0.10919082158704171,0.0,0.8469909842767464,0.0,0.23354518714565867,0.0
87,0.010004281913295792,0.0,0.6180925300633168,0.0,0.10208078437449614,0.0,0.8462925991285827,0.0,0.2216139709658961,0.0
88,0.009777635840854245,0.0,0.6152714293182993,0.0,0.10033270361782862,0.0,0.845178059304327,0.0,0.21718424120117494,0.0
89,0.009172886030521056,0.0,0.6134072626900976,0.0,0.0971835385616789,0.0,0.8441008733529218,0.0,0.21037433113341023,0.0
90,0.008488175219690395,0.0,0.6119921636467526,0.0,0.09174716618066554,0.0,0.8435260306780863,0.0,0.19427592857190795,0.0
91,0.008289348360409876,0.0,0.6084343624555293,0.0,0.09144154366617066,0.0,0.8423221797791725,0.0,0.190102570489014,0.0
92,0.007936000488616674,0.0,0.6063746650433056,0.0,0.087002549542025,0.0,0.8407401102521901,0.0,0.18278229723754932,0.0
93,0.007780488208758225,0.0,0.6051605117640553,0.0,0.08277056854710028,0.0,0.8394767808450552,0.0,0.17281616456323665,0.0
94,0.007307923136880454,0.0,0.6028443604125174,0.0,0.08046102061142202,0.0,0.8391822295981621,0.0,0.16538388112694904,0.0
95,0.007110518437735364,0.0,0.6013523520948122,0.0,0.07839474902125539,0.0,0.8384177767020196,0.0,0.15154099140950034,0.0
96,0.0065467082708866465,0.0,0.6001645642915161,0.0,0.07122978358926926,0.0,0.8371222481943777,0.0,0.1414291145789566,0.0
97,0.006386604981328528,0.0,0.5965109129674605,0.0,0.07070864208111406,0.0,0.8366957749244147,0.0,0.13340413873868232,0.0
98,0.006256885530564627,0.0,0.5959191137183357,0.0,0.06632306997862407,0.0,0.8359880181661955,0.0,0.12015763815792192,0.0
99,0.005870051119325989,0.0,0.5939845626433817,0.0,0.06066058622911542,0.0,0.8343292189124799,0.0,0.11240970064803639,0.0
100,0.005711939412543834,0.0,0.5905058452163424,0.0,0.056010896464026884,0.0,0.8330913190166972,0.0,0.09909448572920528,0.0
101,0.005452924016826059,0.0,0.5893455991567411,0.0,0.05279970957559976,0.0,0.8328610196132359,0.0,0.0928216828026654,0.0
102,0.005085038018049292,0.0,0.5874506693406015,0.0,0.050936118578996485,0.0,0.8326350798316581,0.0,0.0874265974710032,0.0
103,0.004964535458123627,0.0,0.5845337753274672,0.0,0.04549712432909153,0.0,0.8310570716626687,0.0,0.05730731183900082,0.0
104,0.004822032501628226,0.0,0.5833055281078753,0.0,0.04361683341524072,0.0,0.8299196852928459,0.0,0.051248867991043355,0.0
105,0.004661831476790081,0.0,0.5811684669771128,0.0,0.03658041261005261,0.0,0.8278837142970777,0.0,0.04073091095873463,0.0
106,0.004314678329293684,0.0,0.5789024792786894,0.0,0.03270599512685461,0.0,0.8270895248003162,0.0,0.0167971960720023,0.0
107,0.004226358481484565,0.0,0.5775611040644375,0.0,0.027307373464632446,0.0,0.8265016476112068,0.0,0.008553160014026454,0.0
108,0.003912496259112514,0.0,0.5770843766949171,0.0,0.02326413768880194,0.0,0.8255405892574954,0.0,3.329357269789695e-14,0.0
109,0.003733080560140854,0.0,0.5713324406966017,0.0,0.02189502089572056,0.0,0.8242136095061614,0.0,3.133898539537185e-14,0.0
